"","dateRep","day","month","year","cases","deaths","geoId","continentExp","countryterritoryCode","popData2018","countriesAndTerritories"
"285","13/05/2020",13,5,2020,176,8,"DZ","Africa","DZA",42228429,"Algeria"
"286","12/05/2020",12,5,2020,168,5,"DZ","Africa","DZA",42228429,"Algeria"
"287","11/05/2020",11,5,2020,165,8,"DZ","Africa","DZA",42228429,"Algeria"
"288","10/05/2020",10,5,2020,189,6,"DZ","Africa","DZA",42228429,"Algeria"
"289","09/05/2020",9,5,2020,187,5,"DZ","Africa","DZA",42228429,"Algeria"
"290","08/05/2020",8,5,2020,185,7,"DZ","Africa","DZA",42228429,"Algeria"
"291","07/05/2020",7,5,2020,159,6,"DZ","Africa","DZA",42228429,"Algeria"
"292","06/05/2020",6,5,2020,190,5,"DZ","Africa","DZA",42228429,"Algeria"
"293","05/05/2020",5,5,2020,174,2,"DZ","Africa","DZA",42228429,"Algeria"
"294","04/05/2020",4,5,2020,179,4,"DZ","Africa","DZA",42228429,"Algeria"
"295","03/05/2020",3,5,2020,141,6,"DZ","Africa","DZA",42228429,"Algeria"
"296","02/05/2020",2,5,2020,148,3,"DZ","Africa","DZA",42228429,"Algeria"
"297","01/05/2020",1,5,2020,158,6,"DZ","Africa","DZA",42228429,"Algeria"
"298","30/04/2020",30,4,2020,199,7,"DZ","Africa","DZA",42228429,"Algeria"
"299","29/04/2020",29,4,2020,132,5,"DZ","Africa","DZA",42228429,"Algeria"
"300","28/04/2020",28,4,2020,135,7,"DZ","Africa","DZA",42228429,"Algeria"
"301","27/04/2020",27,4,2020,126,6,"DZ","Africa","DZA",42228429,"Algeria"
"302","26/04/2020",26,4,2020,129,4,"DZ","Africa","DZA",42228429,"Algeria"
"303","25/04/2020",25,4,2020,120,8,"DZ","Africa","DZA",42228429,"Algeria"
